cYear,DayofWeek,StreetName,Incident,Time Dispatched Display
2018,Monday,Washington Road,Motor Vehicle Crash - Pedestrian,11:34:09
2018,Friday,Washington Road,Motor Vehicle Crash - Pedestrian,18:17:21
2018,Sunday,Hodge Road,Motor Vehicle Crash - Pedestrian,18:06:03
2018,Sunday,Wiggins Street,Motor Vehicle Crash - Pedestrian,18:30:12
2018,Friday,Washington Road,Motor Vehicle Crash - Pedestrian,20:10:53
2018,Tuesday,University Place,Motor Vehicle Crash - Pedestrian,07:31:17
2018,Monday,Princeton Avenue,Motor Vehicle Crash - Pedestrian,08:19:19
2018,Monday,Princeton Kingston Road,Motor Vehicle Crash - Pedestrian,17:53:27
2018,Thursday,Nassau Street,Motor Vehicle Crash - Pedestrian,16:33:53
2018,Thursday,Wiggins Street,Motor Vehicle Crash - Pedestrian,10:50:59
2018,Friday,Edgerstoune Road,Motor Vehicle Crash - Pedestrian,07:45:52
2018,Monday,University Place,Motor Vehicle Crash - Pedestrian,17:42:42
2018,Monday,Washington Road,Motor Vehicle Crash - Pedestrian,21:19:11
2018,Monday,Park Place,Motor Vehicle Crash - Pedestrian,18:53:51
2018,Monday,North Harrison Street,Motor Vehicle Crash - Pedestrian,17:38:30
2018,Friday,Nassau Street,Motor Vehicle Crash - Pedestrian,23:35:28
2018,Sunday,Witherspoon Street,Motor Vehicle Crash - Pedestrian,09:21:45
